USER_ID,AVERAGE_SPEND,PLACE_ID,DESCRIPTION
OPKV,304,ATEWZCQSXR,User id OPKV has an average spend of $304 at place id ATEWZCQSXR
CVEC,183,LYTOGDZBYX,User id CVEC has an average spend of $183 at place id LYTOGDZBYX
JYYU,210,IJURXFHLAA,User id JYYU has an average spend of $210 at place id IJURXFHLAA
IDQM,167,CKRFYJLLRA,User id IDQM has an average spend of $167 at place id CKRFYJLLRA
RVIQ,254,OMGCSYCKYS,User id RVIQ has an average spend of $254 at place id OMGCSYCKYS
BHDL,165,NIGIPVMWNK,User id BHDL has an average spend of $165 at place id NIGIPVMWNK
TNCQ,69,LLWICDTVJZ,User id TNCQ has an average spend of $69 at place id LLWICDTVJZ
GLXY,98,OJXJCTLDZQ,User id GLXY has an average spend of $98 at place id OJXJCTLDZQ
ZBAP,279,BQMHMTGJLL,User id ZBAP has an average spend of $279 at place id BQMHMTGJLL
OSSS,481,MGUWMSQKWJ,User id OSSS has an average spend of $481 at place id MGUWMSQKWJ
ULJT,440,XAPVVMMZVY,User id ULJT has an average spend of $440 at place id XAPVVMMZVY
LHKD,60,ATEWZCQSXR,User id LHKD has an average spend of $60 at place id ATEWZCQSXR
MDGL,217,RXOBNRBBIN,User id MDGL has an average spend of $217 at place id RXOBNRBBIN
XBPT,61,EBBKNLSOUW,User id XBPT has an average spend of $61 at place id EBBKNLSOUW
MGDC,405,OOSDFBDYDO,User id MGDC has an average spend of $405 at place id OOSDFBDYDO
MFLQ,253,MGUWMSQKWJ,User id MFLQ has an average spend of $253 at place id MGUWMSQKWJ
VMFP,134,RXOBNRBBIN,User id VMFP has an average spend of $134 at place id RXOBNRBBIN
RPTB,60,OJXJCTLDZQ,User id RPTB has an average spend of $60 at place id OJXJCTLDZQ
PNBA,482,HMVFBBLGLY,User id PNBA has an average spend of $482 at place id HMVFBBLGLY
GZRJ,282,XXXNWUNYGA,User id GZRJ has an average spend of $282 at place id XXXNWUNYGA
TYIE,125,HRZKEYPCMT,User id TYIE has an average spend of $125 at place id HRZKEYPCMT
YAZU,54,OMGCSYCKYS,User id YAZU has an average spend of $54 at place id OMGCSYCKYS
AQZC,117,YZRXZYFVOU,User id AQZC has an average spend of $117 at place id YZRXZYFVOU
QTYX,191,UTIATWJZND,User id QTYX has an average spend of $191 at place id UTIATWJZND
PHQT,485,OXHTJXNBMF,User id PHQT has an average spend of $485 at place id OXHTJXNBMF
AYPA,220,OXHTJXNBMF,User id AYPA has an average spend of $220 at place id OXHTJXNBMF
EMRC,446,HRZKEYPCMT,User id EMRC has an average spend of $446 at place id HRZKEYPCMT
VOTJ,36,LYTOGDZBYX,User id VOTJ has an average spend of $36 at place id LYTOGDZBYX
SGYX,395,LLWICDTVJZ,User id SGYX has an average spend of $395 at place id LLWICDTVJZ
ESCM,275,HRZKEYPCMT,User id ESCM has an average spend of $275 at place id HRZKEYPCMT
ZOAC,215,ZUQBNZEDMO,User id ZOAC has an average spend of $215 at place id ZUQBNZEDMO
ODNT,241,NBRCOPUSZI,User id ODNT has an average spend of $241 at place id NBRCOPUSZI
XABF,458,HKDBYVGNTH,User id XABF has an average spend of $458 at place id HKDBYVGNTH
ZJXU,306,WPBEZACUBP,User id ZJXU has an average spend of $306 at place id WPBEZACUBP
MZXE,282,HRZKEYPCMT,User id MZXE has an average spend of $282 at place id HRZKEYPCMT
QXFO,366,MGUWMSQKWJ,User id QXFO has an average spend of $366 at place id MGUWMSQKWJ
DWUJ,478,NOSLQIROGK,User id DWUJ has an average spend of $478 at place id NOSLQIROGK
NLTU,165,NOSLQIROGK,User id NLTU has an average spend of $165 at place id NOSLQIROGK
QMAA,222,JLECYTYVVL,User id QMAA has an average spend of $222 at place id JLECYTYVVL
TIFN,157,YZRXZYFVOU,User id TIFN has an average spend of $157 at place id YZRXZYFVOU
FUXV,23,JLECYTYVVL,User id FUXV has an average spend of $23 at place id JLECYTYVVL
TCCC,71,VJQRKPJMDJ,User id TCCC has an average spend of $71 at place id VJQRKPJMDJ
AYZL,52,YLXKNICRFU,User id AYZL has an average spend of $52 at place id YLXKNICRFU
CKBL,222,RETRVFUYCH,User id CKBL has an average spend of $222 at place id RETRVFUYCH
OGZS,415,PXHWTMFHGC,User id OGZS has an average spend of $415 at place id PXHWTMFHGC
CINP,198,PGSJSAJNNY,User id CINP has an average spend of $198 at place id PGSJSAJNNY
CPBL,276,ATEWZCQSXR,User id CPBL has an average spend of $276 at place id ATEWZCQSXR
LXJU,63,VCQTYKAKOK,User id LXJU has an average spend of $63 at place id VCQTYKAKOK
ZNRA,472,BQMHMTGJLL,User id ZNRA has an average spend of $472 at place id BQMHMTGJLL
EDNG,158,XOCUFDKIWP,User id EDNG has an average spend of $158 at place id XOCUFDKIWP
GZOS,80,LBIMAGSFGP,User id GZOS has an average spend of $80 at place id LBIMAGSFGP
ATZZ,51,XOCUFDKIWP,User id ATZZ has an average spend of $51 at place id XOCUFDKIWP
LXQM,198,YLXKNICRFU,User id LXQM has an average spend of $198 at place id YLXKNICRFU
KWDX,427,MPRRFWBKGE,User id KWDX has an average spend of $427 at place id MPRRFWBKGE
BGLR,167,JLECYTYVVL,User id BGLR has an average spend of $167 at place id JLECYTYVVL
GIYC,361,NBRCOPUSZI,User id GIYC has an average spend of $361 at place id NBRCOPUSZI
VMXM,339,HKDBYVGNTH,User id VMXM has an average spend of $339 at place id HKDBYVGNTH
PHGE,434,VCQTYKAKOK,User id PHGE has an average spend of $434 at place id VCQTYKAKOK
PEPL,84,PGSJSAJNNY,User id PEPL has an average spend of $84 at place id PGSJSAJNNY
XLZA,75,WPBEZACUBP,User id XLZA has an average spend of $75 at place id WPBEZACUBP
DXNQ,22,XXXNWUNYGA,User id DXNQ has an average spend of $22 at place id XXXNWUNYGA
HZWY,385,EBBKNLSOUW,User id HZWY has an average spend of $385 at place id EBBKNLSOUW
JXQY,362,CKLGBEAVQI,User id JXQY has an average spend of $362 at place id CKLGBEAVQI
HROO,157,RJDINISVWU,User id HROO has an average spend of $157 at place id RJDINISVWU
XFYU,316,LLWICDTVJZ,User id XFYU has an average spend of $316 at place id LLWICDTVJZ
IPUQ,297,PGSJSAJNNY,User id IPUQ has an average spend of $297 at place id PGSJSAJNNY
TBHB,379,MGUWMSQKWJ,User id TBHB has an average spend of $379 at place id MGUWMSQKWJ
FGAM,318,YLXKNICRFU,User id FGAM has an average spend of $318 at place id YLXKNICRFU
FTMG,75,ATEWZCQSXR,User id FTMG has an average spend of $75 at place id ATEWZCQSXR
ZOKW,270,MGUWMSQKWJ,User id ZOKW has an average spend of $270 at place id MGUWMSQKWJ
NCRQ,59,BQMHMTGJLL,User id NCRQ has an average spend of $59 at place id BQMHMTGJLL
NUGN,222,YLXKNICRFU,User id NUGN has an average spend of $222 at place id YLXKNICRFU
TQNI,494,VCQTYKAKOK,User id TQNI has an average spend of $494 at place id VCQTYKAKOK
WIDC,333,WPBEZACUBP,User id WIDC has an average spend of $333 at place id WPBEZACUBP
YZEV,319,LKUFKTHUDY,User id YZEV has an average spend of $319 at place id LKUFKTHUDY
PRMU,12,UTIATWJZND,User id PRMU has an average spend of $12 at place id UTIATWJZND
VHSX,379,NBRCOPUSZI,User id VHSX has an average spend of $379 at place id NBRCOPUSZI
UOPZ,16,LBIMAGSFGP,User id UOPZ has an average spend of $16 at place id LBIMAGSFGP
EEXK,400,PGSJSAJNNY,User id EEXK has an average spend of $400 at place id PGSJSAJNNY
YHAE,63,SHEZBWDNDJ,User id YHAE has an average spend of $63 at place id SHEZBWDNDJ
SWEE,289,OOSDFBDYDO,User id SWEE has an average spend of $289 at place id OOSDFBDYDO
DOYI,367,LBIMAGSFGP,User id DOYI has an average spend of $367 at place id LBIMAGSFGP
JCAA,44,RETRVFUYCH,User id JCAA has an average spend of $44 at place id RETRVFUYCH
KWOK,107,LBIMAGSFGP,User id KWOK has an average spend of $107 at place id LBIMAGSFGP
KDPM,99,LYTOGDZBYX,User id KDPM has an average spend of $99 at place id LYTOGDZBYX
OXCC,451,NIGIPVMWNK,User id OXCC has an average spend of $451 at place id NIGIPVMWNK
EBZN,495,TCABUBCSMJ,User id EBZN has an average spend of $495 at place id TCABUBCSMJ
KZAO,214,LLWICDTVJZ,User id KZAO has an average spend of $214 at place id LLWICDTVJZ
BLWV,388,OOSDFBDYDO,User id BLWV has an average spend of $388 at place id OOSDFBDYDO
OOUV,453,IJURXFHLAA,User id OOUV has an average spend of $453 at place id IJURXFHLAA
BXFS,303,XXXNWUNYGA,User id BXFS has an average spend of $303 at place id XXXNWUNYGA
VRQE,273,YJVSFKDSMB,User id VRQE has an average spend of $273 at place id YJVSFKDSMB
XZCB,305,XOCUFDKIWP,User id XZCB has an average spend of $305 at place id XOCUFDKIWP
HNXH,245,XXXNWUNYGA,User id HNXH has an average spend of $245 at place id XXXNWUNYGA
TGZC,461,HKDBYVGNTH,User id TGZC has an average spend of $461 at place id HKDBYVGNTH
NZZD,405,OJXJCTLDZQ,User id NZZD has an average spend of $405 at place id OJXJCTLDZQ
MGWB,362,OOSDFBDYDO,User id MGWB has an average spend of $362 at place id OOSDFBDYDO
GDTH,324,UTIATWJZND,User id GDTH has an average spend of $324 at place id UTIATWJZND
DZZC,450,YJVSFKDSMB,User id DZZC has an average spend of $450 at place id YJVSFKDSMB
FXFO,291,NOSLQIROGK,User id FXFO has an average spend of $291 at place id NOSLQIROGK
OYGI,90,OXHTJXNBMF,User id OYGI has an average spend of $90 at place id OXHTJXNBMF
NVXK,39,YJVSFKDSMB,User id NVXK has an average spend of $39 at place id YJVSFKDSMB
NDNC,240,XOKLPNIXNG,User id NDNC has an average spend of $240 at place id XOKLPNIXNG
YMXW,452,KEBNSNTBWM,User id YMXW has an average spend of $452 at place id KEBNSNTBWM
OBIJ,297,LLWICDTVJZ,User id OBIJ has an average spend of $297 at place id LLWICDTVJZ
NHFL,258,HRZKEYPCMT,User id NHFL has an average spend of $258 at place id HRZKEYPCMT
SWLF,282,TCABUBCSMJ,User id SWLF has an average spend of $282 at place id TCABUBCSMJ
UGSA,92,LKUFKTHUDY,User id UGSA has an average spend of $92 at place id LKUFKTHUDY
BREA,118,RETRVFUYCH,User id BREA has an average spend of $118 at place id RETRVFUYCH
APPQ,285,YLXKNICRFU,User id APPQ has an average spend of $285 at place id YLXKNICRFU
TVZV,434,CKLGBEAVQI,User id TVZV has an average spend of $434 at place id CKLGBEAVQI
WGKO,428,BQMHMTGJLL,User id WGKO has an average spend of $428 at place id BQMHMTGJLL
BIRF,451,OMGCSYCKYS,User id BIRF has an average spend of $451 at place id OMGCSYCKYS
XTLU,438,QMSOHSFZFJ,User id XTLU has an average spend of $438 at place id QMSOHSFZFJ
WJRQ,345,OMGCSYCKYS,User id WJRQ has an average spend of $345 at place id OMGCSYCKYS
HBJY,476,PGSJSAJNNY,User id HBJY has an average spend of $476 at place id PGSJSAJNNY
NHLM,124,PXHWTMFHGC,User id NHLM has an average spend of $124 at place id PXHWTMFHGC
TPPE,377,CKRFYJLLRA,User id TPPE has an average spend of $377 at place id CKRFYJLLRA
CSXB,464,YLXKNICRFU,User id CSXB has an average spend of $464 at place id YLXKNICRFU
OWGT,101,MGUWMSQKWJ,User id OWGT has an average spend of $101 at place id MGUWMSQKWJ
EHEC,56,OMGCSYCKYS,User id EHEC has an average spend of $56 at place id OMGCSYCKYS
VIFC,224,XXXNWUNYGA,User id VIFC has an average spend of $224 at place id XXXNWUNYGA
VAKS,20,OMGCSYCKYS,User id VAKS has an average spend of $20 at place id OMGCSYCKYS
FULO,36,ZUQBNZEDMO,User id FULO has an average spend of $36 at place id ZUQBNZEDMO
UACH,339,EBBKNLSOUW,User id UACH has an average spend of $339 at place id EBBKNLSOUW
VLHS,489,MPRRFWBKGE,User id VLHS has an average spend of $489 at place id MPRRFWBKGE
GDSP,369,RJDINISVWU,User id GDSP has an average spend of $369 at place id RJDINISVWU
KRVZ,125,GSLQLIGOVJ,User id KRVZ has an average spend of $125 at place id GSLQLIGOVJ
ZSSV,298,MPRRFWBKGE,User id ZSSV has an average spend of $298 at place id MPRRFWBKGE
EZRQ,402,QMSOHSFZFJ,User id EZRQ has an average spend of $402 at place id QMSOHSFZFJ
OQOF,428,YJVSFKDSMB,User id OQOF has an average spend of $428 at place id YJVSFKDSMB
ASDN,356,QMSOHSFZFJ,User id ASDN has an average spend of $356 at place id QMSOHSFZFJ
RWCV,235,HKDBYVGNTH,User id RWCV has an average spend of $235 at place id HKDBYVGNTH
IWRS,39,YZRXZYFVOU,User id IWRS has an average spend of $39 at place id YZRXZYFVOU
VUOQ,149,FGPECDDLPE,User id VUOQ has an average spend of $149 at place id FGPECDDLPE
UBUL,107,BQMHMTGJLL,User id UBUL has an average spend of $107 at place id BQMHMTGJLL
VYZR,306,CKRFYJLLRA,User id VYZR has an average spend of $306 at place id CKRFYJLLRA
JHVN,499,YJVSFKDSMB,User id JHVN has an average spend of $499 at place id YJVSFKDSMB
NLFO,357,IJURXFHLAA,User id NLFO has an average spend of $357 at place id IJURXFHLAA
ZMPR,32,VJQRKPJMDJ,User id ZMPR has an average spend of $32 at place id VJQRKPJMDJ
KXLJ,231,PXHWTMFHGC,User id KXLJ has an average spend of $231 at place id PXHWTMFHGC
CLCS,254,IJURXFHLAA,User id CLCS has an average spend of $254 at place id IJURXFHLAA
MNZQ,147,XOKLPNIXNG,User id MNZQ has an average spend of $147 at place id XOKLPNIXNG
ZCGN,291,TCABUBCSMJ,User id ZCGN has an average spend of $291 at place id TCABUBCSMJ
PDOV,212,XOCUFDKIWP,User id PDOV has an average spend of $212 at place id XOCUFDKIWP
YQJI,484,FGPECDDLPE,User id YQJI has an average spend of $484 at place id FGPECDDLPE
BKSS,74,PGSJSAJNNY,User id BKSS has an average spend of $74 at place id PGSJSAJNNY
NAJS,68,YLXKNICRFU,User id NAJS has an average spend of $68 at place id YLXKNICRFU
PGTV,250,ZUQBNZEDMO,User id PGTV has an average spend of $250 at place id ZUQBNZEDMO
AJYE,430,VJQRKPJMDJ,User id AJYE has an average spend of $430 at place id VJQRKPJMDJ
KEKF,366,TCABUBCSMJ,User id KEKF has an average spend of $366 at place id TCABUBCSMJ
LXNG,241,QMSOHSFZFJ,User id LXNG has an average spend of $241 at place id QMSOHSFZFJ
CXSB,78,LYTOGDZBYX,User id CXSB has an average spend of $78 at place id LYTOGDZBYX
VQCG,447,YJVSFKDSMB,User id VQCG has an average spend of $447 at place id YJVSFKDSMB
VJBO,398,PXHWTMFHGC,User id VJBO has an average spend of $398 at place id PXHWTMFHGC
